"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Atiles, Luis","2021",10,10,8,0.36,0.45
"Bant, Jay","2024",490,438,404,0.36,0.355
"Biller, Sam","2024",231,208,194,0.36,0.347
"Magdic, Ryan","2022",203,187,167,0.36,0.422
"Mason, Jevon","2022",369,343,303,0.36,0.388
"Nicholson, Ryan","2022",242,226,190,0.36,0.415
"Siracusa, Gerry","2022",399,365,331,0.36,0.388
"Cook, Will","2023",361,335,273,0.359,0.419
"Kron, Drew","2024",270,239,215,0.359,0.364
"Laplante, Mason","2022",289,268,248,0.359,0.36
"Meggers, Chase","2022",442,392,362,0.359,0.377
"Palmese, Jamie","2025",211,197,179,0.359,0.369
"Alberti, Lucas","2026",119,107,91,0.358,0.377
"Brady, Cavan","2022",171,159,147,0.358,0.361
"Cha, Eric","2025",546,522,466,0.358,0.39
"Crain, Griffin","2026",191,170,157,0.358,0.348
"Fadio, Blaze","2022",353,270,176,0.358,0.424
"Fredo, Ty","2026",92,77,63,0.358,0.424
"Hyde, Brennan","2024",212,197,173,0.358,0.378
"Loughren, Colsen","2026",71,68,45,0.358,0.518
"Mershon, David","2023",407,354,308,0.358,0.363
"Stevens, Julian","2023",238,213,191,0.358,0.371
"Sullivan, Evin","2023",201,193,183,0.358,0.379
"Wells, Carson","2023",103,87,81,0.358,0.319
"Dooley, Ty","2022",287,262,220,0.357,0.388
"Johnson, Davis","2025",535,478,404,0.357,0.391
"Johnson, Gunnar","2024",106,94,82,0.357,0.36
"Misch, Connor","2024",174,156,132,0.357,0.377
"Nomura, Luke","2025",433,383,323,0.357,0.395
"Pettay, Greg","2023",228,206,156,0.357,0.425
"Rice, Garrett","2023",492,459,407,0.357,0.376
"Rios, Joe","2022",388,338,290,0.357,0.358
"Schark, Matthew","2023",369,343,251,0.357,0.454
"Steele, Anthony","2023",165,155,131,0.357,0.396
"Walsh, Chris","2026",31,20,12,0.357,0.289
"Apple, Foster","2025",284,261,235,0.356,0.362
"Bishop, Casey","2024",530,500,434,0.356,0.394
"Brazer, Alex","2025",78,66,34,0.356,0.573
"Ducatelli, Antonio","2026",236,176,135,0.356,0.32
"Ettinger, EJ","2024",126,118,102,0.356,0.386
"Mainolfi, Ty","2025",547,489,467,0.356,0.349
"Salinas, Tristan","2026",193,179,155,0.356,0.385
"Baillargeon, Chris","2024",377,336,280,0.355,0.377
"Beliveau, Tanner","2026",6,3,1,0.355,0.063
"Hunter, Grant","2026",226,199,146,0.355,0.421
"Perron Jr, Daniel","2024",488,417,373,0.355,0.358
"Brotz, AJ","2025",169,143,137,0.354,0.305
"Greco, Noah","2026",4,2,2,0.354,0.018
"Hornung, Jackson","2023",145,135,119,0.354,0.373
"Kendrick, Micah","2026",325,298,254,0.354,0.395
"Kulasingam, Sam","2023",226,208,196,0.354,0.345
"Lafleur, John","2025",10,10,8,0.354,0.442
"Leitgeb, Jake","2023",12,12,8,0.354,0.531
"Makarewicz, Alec","2022",579,536,480,0.354,0.382
"Metzdorf, Drew","2023",50,43,37,0.354,0.347
"Murtha, Brock","2024",78,70,54,0.354,0.409
"Short, Brady","2024",453,403,355,0.354,0.378
"Whitehill, Simmi","2025",292,252,184,0.354,0.445
"Bianchina, Vincent","2022",455,404,384,0.353,0.34
"Ferrer, Kevin","2022",721,691,661,0.353,0.362
"Vigeant, Nate","2021",50,41,23,0.353,0.498
"Cashman, Teddy","2025",264,243,197,0.352,0.398
"Gell, Scott","2026",106,93,63,0.352,0.45
"Iannazzo, Michael","2026",7,5,5,0.352,0.354
"Kailher, Ben","2021",24,24,12,0.352,0.703
"Martin, Ryan","2026",99,88,70,0.352,0.4
"Rosales, George","2023",329,262,216,0.352,0.364
"Roselli, Nick","2023",602,532,472,0.352,0.357
"Scarabino, Anthony","2024",153,129,117,0.352,0.343
"Seidl, Tommy","2021",53,49,35,0.352,0.454
"holt, Johnathon","2026",2,1,1,0.352,0.014
"Hannon, Kyle","2023",576,526,492,0.351,0.353
"Minnick, Tyler","2024",357,313,277,0.351,0.363
"Romano, Generoso","2023",66,56,46,0.351,0.384
"Tramel, Braxton","2026",130,106,64,0.351,0.508
"Wiggins, Andrew","2024",442,366,288,0.351,0.367
"Anderson, Mike","2023",484,429,365,0.35,0.376
"Binderup, Blake","2025",301,281,223,0.35,0.41
"Cranford, Collier","2023",294,278,262,0.35,0.361
"Garbowski, Kyle","2026",203,170,147,0.35,0.362
"Jackson, Jadyn","2022",251,231,211,0.35,0.351
"Lybrook, William","2025",256,211,163,0.35,0.36
"Martin, Brayden","2024",600,526,472,0.35,0.341
"Papetti, Cameron","2026",99,77,50,0.35,0.389
"Toomey, Jack","2025",569,523,465,0.35,0.36
"DePino, Anthony","2023",383,341,303,0.349,0.364
"Holland, Luke","2025",276,244,194,0.349,0.383
"Iannazzo, Michael","2024",630,577,553,0.349,0.348
"Barber, Brooks","2025",87,81,65,0.348,0.403
"Bryant, David","2021",103,91,87,0.348,0.349
"Gerety, Ryan","2024",479,408,356,0.348,0.355
"Greger, Gavin","2025",703,677,617,0.348,0.368
"Jolley, Aidan","2023",258,243,215,0.348,0.37
"Miller, Sam","2025",337,300,260,0.348,0.374
"Notarangelo, Nic","2022",316,302,262,0.348,0.383
"Polk, Hudson","2023",413,362,310,0.348,0.37
"Anderson, Aedan","2024",443,395,341,0.347,0.362
"Dickinson, Tim","2026",238,213,182,0.347,0.359
"Fazzari, Nicholas","2022",255,228,190,0.347,0.4
"Genther, Eric","2024",524,480,442,0.347,0.343
"Grabau, Anthony","2026",215,192,159,0.347,0.369
"Hackett, Justin","2025",456,404,300,0.347,0.426
"Meluskey, Thomas","2024",343,313,271,0.347,0.362
"Noriega, Gavin","2024",320,288,256,0.347,0.358
"Bergevin, Matt","2023",665,582,510,0.346,0.349
"Cantwell, Luke","2023",422,352,308,0.346,0.318
"Dykstra, Ryder","2025",310,282,250,0.346,0.352
"Klingenbeck, Kory","2023",121,99,67,0.346,0.399
"Krzciok, Brady","2025",304,286,250,0.346,0.372
"LaRose, Jack","2025",359,322,252,0.346,0.397
"Martin, Brayden","2025",387,339,317,0.346,0.318
"Reinisch, Jake","2023",400,358,322,0.346,0.357
"Toole, Marshall","2023",591,543,491,0.346,0.357
"Zarrillo, Michael","2024",321,297,233,0.346,0.405
"Gonzalez, Dorian","2022",390,354,314,0.345,0.378
"Gupton, Michael","2025",584,553,467,0.345,0.392
"Hewett, Calvin","2023",569,507,455,0.345,0.35
"Knipp, Grant","2022",263,249,209,0.345,0.388
"Lazits, Anton","2024",421,362,316,0.345,0.346
"Melnick, Danny","2023",299,289,257,0.345,0.374
"Muzio, Joe","2024",68,62,58,0.345,0.333
"Russell, Devin","2023",256,222,152,0.345,0.445
"Sullivan, Jimmy","2021",49,49,45,0.345,0.375
"Waugh, Nathan","2023",317,282,224,0.345,0.393
"Frei, Gehrig","2024",646,589,537,0.344,0.357
"Hawke, Austin","2024",440,374,280,0.344,0.392
"Meguiar, Braxton","2024",145,130,114,0.344,0.371
"Reyna, Christian","2025",137,119,101,0.344,0.344
"Greger, Gavin","2024",468,448,400,0.343,0.374
"Joseph, Thomas","2021",107,103,77,0.343,0.44
"Mistone, Luke","2024",545,511,493,0.343,0.337
"Allen, Logan","2022",389,350,296,0.342,0.398
"Chance, Cal","2026",82,74,70,0.342,0.322
"Ficca, Christian","2023",418,372,332,0.342,0.35
"Micheletti, Eddie","2022",606,573,543,0.342,0.34
"O'Brien, Michael","2026",79,67,57,0.342,0.329
"Polk, Matthew","2023",582,525,497,0.342,0.351
"Roden, Alan","2021",106,97,91,0.342,0.353
"Romano, Nick","2022",480,430,346,0.342,0.375
"Toomey, Jack","2023",512,460,380,0.342,0.381
"White, Nick","2023",44,40,28,0.342,0.438
"Eubanks, Gray","2026",82,75,57,0.341,0.406
"Harry, Jay","2022",524,481,465,0.341,0.345
"O'Brien, Gavin","2026",52,43,27,0.341,0.426
"Williams, Derek","2024",114,97,85,0.341,0.392
"Belisario, Anthony","2025",445,383,311,0.34,0.358
"Breton, Mason","2026",113,96,60,0.34,0.446
"Holderbach, Drew","2022",525,483,439,0.34,0.36
"Miller, Khyree","2023",515,469,373,0.34,0.391
"Palmeri, Cole","2022",237,221,187,0.34,0.383
"Russo, Matthew","2023",266,244,216,0.34,0.348
"Sosa, Gustavo","2021",22,16,8,0.34,0.417
"Chatfield, Jonathan","2025",33,27,21,0.339,0.336
"Harley, Jack","2025",480,382,320,0.339,0.336
"Harley, Jack","2026",289,252,216,0.339,0.342
"Tate, Jack","2026",113,100,82,0.339,0.358
"Baker, Davis","2025",442,408,372,0.338,0.338
"Bell, Andrew","2025",404,366,308,0.338,0.358
"Carr, Cade","2025",262,229,203,0.338,0.337
"Diaz, Chris","2026",140,124,92,0.338,0.402
"Galanie, Ryan","2022",610,555,505,0.338,0.344
"Merlonghi, Gianno","2025",622,542,502,0.338,0.326
"Ray, Hunter","2026",22,15,6,0.338,0.436
"Ballard, Michael","2024",149,137,123,0.337,0.363
"Branch, Kolby","2023",516,484,424,0.337,0.358
"Head, Tristan","2024",391,356,308,0.337,0.35
"Head, Tristan","2025",43,43,39,0.337,0.372
"Jackson, Matthew","2026",114,97,71,0.337,0.376
"Mills, Griffin","2024",236,178,134,0.337,0.409
"Pagano, Joey","2024",30,28,24,0.337,0.364
"Pettay, Greg","2025",404,371,321,0.337,0.353
"Rezek, Joseph","2022",232,218,176,0.337,0.389
"Shapiro, Caden","2023",368,329,287,0.337,0.37
"Taylor, Brandon","2021",22,20,18,0.337,0.335
"Wallace, Colby","2026",41,36,25,0.337,0.414
"Cash, Donovan","2022",267,250,220,0.336,0.355
"Kopack, Addison","2023",276,258,234,0.336,0.367
"Kulikowski, Jake","2024",455,417,337,0.336,0.376
"Skarad, Joey","2023",105,95,71,0.336,0.399
"Stocum, Nate","2023",397,359,325,0.336,0.347
"Waid, Ty","2024",156,142,100,0.336,0.428
"Arnone, Griffin","2022",510,453,373,0.335,0.376
"Blauser, Cooper","2025",144,118,86,0.335,0.384
"Huber, Ben","2022",321,288,228,0.335,0.372
"Hugo, Logan","2024",770,681,603,0.335,0.331
"Meluskey, Tommy","2026",182,150,118,0.335,0.33
"Rose, Cedric","2023",356,318,264,0.335,0.376
"Drapeau, Brandon","2023",343,320,294,0.334,0.336
"Maves, Kyle","2021",39,33,29,0.334,0.306
"Pettay, Greg","2024",361,304,240,0.334,0.364
"Thorbahn, Jack","2022",351,316,264,0.334,0.353
"Zwirecki, Thomas","2026",64,46,30,0.334,0.299
"Bozzo, Greg","2023",360,358,338,0.333,0.355
"DeMattio, Zach","2022",177,165,135,0.333,0.376
"Ditomaso, Steve","2022",521,505,451,0.333,0.373
"Fronduto, Danati","2026",177,163,132,0.333,0.378
"Goodman, Jack","2023",308,294,266,0.333,0.36
"Grant, Max","2022",688,647,599,0.333,0.342
"Keblinsky, Peter","2025",282,272,248,0.333,0.351
"Kernodle, Jake","2025",449,384,312,0.333,0.345
"Lidsky, Blaine","2022",255,226,184,0.333,0.368
"Petersen, Mika","2024",528,459,413,0.333,0.351
"Shimada, Kohtaro","2023",101,82,72,0.333,0.285
"Zellem, Tanner","2023",109,90,70,0.333,0.4
"Bade, Devan","2023",706,634,568,0.332,0.361
"Eisert, Eddie","2023",610,549,483,0.332,0.363
"Elko, Michael","2025",562,479,425,0.332,0.338
"Franco, Marcus","2022",309,301,269,0.332,0.361
"H, Player","2024",10,10,8,0.332,0.414
"Jaros, Ryan","2026",140,129,99,0.332,0.393
"O'Conor, Michael","2025",333,296,252,0.332,0.359
"Pasqualini, Hunter","2022",528,483,443,0.332,0.339
"Rollauer, Thomas","2024",368,313,279,0.332,0.337
"Tomasetto, Nick","2026",177,143,101,0.332,0.376
"Wetterau, Colin","2022",315,289,259,0.332,0.345
"Bertsch, Connor","2022",409,373,303,0.331,0.384
"Brooks, Jack","2023",264,201,169,0.331,0.333
"Gaudreau, Jacob","2022",35,29,25,0.331,0.297
"Gold, Jack","2025",220,177,149,0.331,0.331
"Preslar, Grayson","2022",213,192,142,0.331,0.438
"Day, Brady","2022",445,404,376,0.33,0.323
"Donohue, Gavin","2025",525,480,406,0.33,0.372
"Doyle, Jack","2024",385,331,281,0.33,0.33
"Fagnant, Christian","2023",37,35,27,0.33,0.401
"Frank, Jack","2021",17,13,13,0.33,0.219
"Graveline, Matthew","2023",387,352,298,0.33,0.367
"Hogart, Jonathan","2022",641,593,537,0.33,0.337
"Penney, Scott","2025",241,221,181,0.33,0.363
"Thompson, Matt","2024",169,139,113,0.33,0.334
"Tucker, Jackson","2024",412,376,342,0.33,0.333
"Dever, Brady","2024",208,194,154,0.329,0.382
"Donohue, Ronan","2026",202,178,147,0.329,0.344
"Hewett, Calvin","2022",615,562,508,0.329,0.35
"Lopez, Nelphie","2025",364,331,293,0.329,0.352
"Moore, Grayson","2021",66,56,38,0.329,0.462
"Rivera, Danniel","2022",180,145,123,0.329,0.33
"Roper, Jackson","2026",203,191,176,0.329,0.332
"Sherwin, Anthony","2022",283,243,179,0.329,0.382
"Spanier, Jack","2025",345,292,264,0.329,0.302
"Usher, Levi","2021",18,14,8,0.329,0.395
"Cassella, Justin","2022",256,224,172,0.328,0.384
"Enis, Griffin","2026",119,97,74,0.328,0.369
"Maurice, Kyle","2021",10,10,4,0.328,0.821
"Pagano, Joey","2025",609,559,531,0.328,0.322
"Sengenberger, Aidan","2025",379,332,266,0.328,0.368
"Sullivan, Thomas","2025",24,24,22,0.328,0.358
"Toomey, Jack","2024",172,152,132,0.328,0.323
"Young, Scotty","2024",485,455,393,0.328,0.352
"Galason, Anthony","2021",179,169,151,0.327,0.342
"Gill, Cameron","2022",143,127,107,0.327,0.334
"Hager, Kevin","2025",71,69,63,0.327,0.347
"MacDougall, Danny","2024",456,404,352,0.327,0.343
"Sullivan, Billy","2024",404,355,323,0.327,0.323
"King, Ryan","2025",83,69,63,0.326,0.342
"McKenzie, Tyler","2022",406,386,332,0.326,0.357
"Overholt, Collin","2025",353,309,267,0.326,0.348
"Sorrentino, Tyler","2022",566,524,450,0.326,0.348
"Vance, Cooper","2025",31,31,29,0.326,0.349
"Wirtanen, Robert","2022",88,76,60,0.326,0.385
"Marsh, Bobby","2023",113,105,85,0.325,0.367
"Robinson, Corey","2025",297,261,217,0.325,0.372
"Skagerlind, Kevin","2023",474,410,376,0.325,0.328
"Stearns, Clay","2022",388,315,265,0.325,0.335
"Ciulla-Hall, Trey","2022",187,167,139,0.324,0.337
"D'Amico, Pat","2024",416,392,348,0.324,0.356
"Dunkel, Carson","2022",261,223,175,0.324,0.348
"Johnson, Gunnar","2023",337,320,278,0.324,0.35
"Lincoln, Nathan","2025",523,472,430,0.324,0.32
"Baran, Joey","2025",189,164,144,0.323,0.342
"Britt, Sean","2026",58,48,36,0.323,0.329
"Brown, Jaden","2022",352,318,246,0.323,0.367
"Cunningham, Kai","2024",104,93,89,0.323,0.323
"Minckler, Matthew","2026",236,225,192,0.323,0.362
"Penney, Scott","2026",99,76,57,0.323,0.342
"Sullivan, Jimmy","2023",127,112,90,0.323,0.34
"Flynn, Danny","2026",71,56,35,0.322,0.357
"Gaich, AJ","2022",329,275,223,0.322,0.307
"Hulett, Bryce","2021",248,225,199,0.322,0.335
"Jaconski, Jesse","2024",434,390,312,0.322,0.388
"Middleton, Charles","2021",326,301,267,0.322,0.349
"O'Neill, Dean","2025",312,302,282,0.322,0.341
"Williams, Shane","2025",89,72,60,0.322,0.283
"Bentley, Carter","2026",134,108,92,0.321,0.28
"Darnell, Sean","2025",269,243,231,0.321,0.296
"Fortin, Joe","2021",89,72,52,0.321,0.377
"Goodman, Connor","2023",160,127,117,0.321,0.357
"Hopko, Jack","2025",422,367,341,0.321,0.329
"Kane, Aiden","2022",685,625,557,0.321,0.325
"Luders, Jonathan","2021",60,37,37,0.321,0.26
"Thompson, Ryan","2026",116,108,85,0.321,0.381
"Viera, Max","2021",108,104,92,0.321,0.346
"Camera, Dominic","2025",290,266,230,0.32,0.344
"Gell, Scott","2025",250,240,222,0.32,0.329
"Jackson, Tyree","2025",69,61,53,0.32,0.365
"Tuupo, Chandler","2025",672,609,581,0.32,0.315
"Baxter, Cuyler","2025",407,387,381,0.319,0.305
"Brown, Cade","2026",131,105,77,0.319,0.319
"Flynn, Liam","2025",125,106,94,0.319,0.285
"Heaton, Brodey","2022",468,431,355,0.319,0.349
"Henington, Kyle","2024",459,386,332,0.319,0.323
"Hunt, Wyatt","2025",405,378,336,0.319,0.345
"Larson, Connor","2024",210,185,157,0.319,0.334
"Metzner, Ben","2022",152,130,96,0.319,0.346
"Milner, Beck","2023",76,59,45,0.319,0.278
"Moralez, Mitchell","2021",388,358,352,0.319,0.308
"Penney, Jack","2022",318,291,235,0.319,0.364
"Richter, Easton","2025",66,64,46,0.319,0.427
"Solorzano, Nick","2024",223,183,147,0.319,0.314
"Wight, Parker","2026",27,24,19,0.319,0.345
"Benick, Tyler","2025",30,19,17,0.318,0.114
"De Goti, Brandon","2025",447,407,363,0.318,0.324
"Freeberger, Dominic","2021",370,337,317,0.318,0.299
"Kelly, Frank","2026",168,136,122,0.318,0.279
"Ridley, Cam","2021",269,233,187,0.318,0.369
"Shulman, Tyler","2026",162,135,123,0.318,0.296
"Aschettino, AJ","2025",472,428,390,0.317,0.313
"Cesarini, Ryan","2023",578,533,507,0.317,0.318
"Chatelle, Matthew","2024",370,352,328,0.317,0.32
"Cobb Jr., Tremayne","2023",204,194,160,0.317,0.378
"De La Rosa, Albert","2026",180,166,145,0.317,0.327
"Gerlott, Billy","2023",460,420,362,0.317,0.327
"Kaczmar, Henry","2023",343,307,275,0.317,0.305
"Luttazi, Steve","2022",359,319,273,0.317,0.316
"Moats, Dominic","2025",152,138,102,0.317,0.378
"Brigman, Dawson","2021",255,204,188,0.316,0.29
"Davis, Jakobi","2024",424,387,327,0.316,0.331
"Diamant, Demitri","2023",372,324,270,0.316,0.368
"Donofrio, Anthony","2022",480,453,413,0.316,0.329
"Gillespie, Davis","2023",342,313,261,0.316,0.348
"Prevesk, Matt","2024",261,236,194,0.316,0.351
"Romano, Nick","2025",682,623,568,0.316,0.313
"Torres, Michael","2025",375,329,295,0.316,0.315
"Carson, Chris","2025",231,211,199,0.315,0.296
"Kretzschmar, Kade","2021",10,10,8,0.315,0.394
"Mazzotta, Nick","2025",219,192,162,0.315,0.311
"Phinney, Jackson","2022",110,104,86,0.315,0.354
"Tierney, Aiden","2023",244,222,184,0.315,0.35
"Watkins, Jailen","2026",106,89,69,0.315,0.314
"Beck, Austin","2023",170,164,136,0.314,0.362
"Berger, Jake","2022",37,33,31,0.314,0.286
"Brini, Niko","2023",368,331,285,0.314,0.315
"Correa, Jr., Efrain","2023",190,168,142,0.314,0.313
"Kim, Isaac","2024",362,329,309,0.314,0.341
"Natividad, Gabriel","2025",306,277,251,0.314,0.325
"Belisario, Anthony","2026",120,94,60,0.313,0.338
"Callahan, Brett","2021",88,86,80,0.313,0.327
"Cox, Tyler","2023",426,360,324,0.313,0.31
"Hansen, Trevor","2025",440,404,354,0.313,0.327
"Heitzman, John","2026",32,26,12,0.313,0.548
"Leuthner, Stanton","2022",174,154,106,0.313,0.384
"Santa Maria, Tony","2022",645,581,527,0.313,0.328
"Smith, Jordan","2023",558,518,478,0.313,0.321
"Bertsch, Connor","2021",16,14,8,0.312,0.451
"Best, Justin","2026",77,62,40,0.312,0.342
"Brown-Eiring, Matthew","2023",218,184,150,0.312,0.297
"Cook, Will","2025",368,324,250,0.312,0.35
"Cooney, Ryan","2024",482,419,369,0.312,0.311
"Corn, Aidan","2023",218,196,142,0.312,0.391
"Daniel, Conlan","2025",626,548,490,0.312,0.32
"Hanson, Chase","2022",408,385,343,0.312,0.34
"Hewett, Calvin","2021",268,234,194,0.312,0.324
"Militello, Jackson","2024",81,71,45,0.312,0.408
"Monile, Nick","2025",316,253,227,0.312,0.243
"Renwick, Jack","2023",238,221,187,0.312,0.345
"Russo, Jake","2026",44,38,37,0.312,0.259
"Sahler, Cian","2024",571,541,513,0.312,0.318
"Becchetti, Mike","2023",137,123,107,0.311,0.308
"Dix, Eliot","2023",471,444,416,0.311,0.307
"Feinberg, Harrison","2024",191,170,142,0.311,0.359
"Ordonez, Santiago","2025",99,97,95,0.311,0.31
"Pisano, Kayle","2025",314,289,243,0.311,0.343
"Reyes, Luca","2024",194,182,154,0.311,0.338
"Trotta, Mark","2022",399,360,316,0.311,0.345
"DeMucci, Joey","2025",334,310,286,0.31,0.323
"French, Anderson","2026",105,96,72,0.31,0.366
"Harrington, Steve","2023",425,390,314,0.31,0.36
"Ketterman, Zach","2023",429,393,325,0.31,0.332
"McIntire, Matthew","2025",161,141,123,0.31,0.339
"Mendez, David","2025",510,479,443,0.31,0.315
"Mummau, Jake","2023",165,142,124,0.31,0.34
"Sheffield, Jaden","2024",278,266,218,0.31,0.358
"Aquino, Jose","2021",66,50,42,0.309,0.37
"Berg, Derek","2022",161,145,121,0.309,0.319
"Howard, Billy","2025",314,275,249,0.309,0.293
"Mueller, Sebastian","2022",299,288,254,0.309,0.333
"Petrucci, Josh","2021",32,30,20,0.309,0.425
"Rodriguez, Damaurys","2023",104,98,98,0.309,0.286
"Ruscitti, Tom","2022",537,482,412,0.309,0.317
"Voytovich, Grant","2023",293,226,176,0.309,0.302
"Colasante, Giovanni","2023",393,352,286,0.308,0.346
"Haas, Matthias","2021",86,73,69,0.308,0.344
"Hull, Mason","2021",201,185,167,0.308,0.305
"Huntzinger, Jerry","2021",36,34,28,0.308,0.347
"Long, Tyler","2023",295,268,232,0.308,0.337
"Marot, Alex","2025",480,450,394,0.308,0.323
"Schrader, Gavin","2025",321,290,274,0.308,0.306
"Brenczewski, Joey","2024",289,268,242,0.307,0.332
"Crowely, Colin","2026",167,138,113,0.307,0.277
"Haskin, Parker","2021",67,63,53,0.307,0.336
"Jones, Brendan","2024",346,288,240,0.307,0.308
"Loikits, Andrew","2025",258,226,190,0.307,0.336
"MacDougall, Ryan","2025",175,152,134,0.307,0.304
"Rogan, Charlie","2025",104,100,80,0.307,0.364
"Archer, Ganon","2024",12,12,8,0.306,0.459
"Craska, Petey","2026",34,31,25,0.306,0.333
"Dwyer, Joe","2025",75,65,49,0.306,0.328
"Jaconski, Jesse","2025",257,237,181,0.306,0.381
"Kale, David","2021",77,77,73,0.306,0.323
"Kent, Zack","2025",718,617,583,0.306,0.315
"Lopez, Ubaldo","2021",194,178,154,0.306,0.313
"Broderick, James","2022",247,228,194,0.305,0.321
"Dapkewicz, Adam","2022",425,373,291,0.305,0.351
"Goranson, Nathan","2023",300,268,218,0.305,0.319
"Long, Justin","2022",220,192,140,0.305,0.361
"MacDougall, Ryan","2024",210,186,154,0.305,0.309
"Mattei, Robert","2022",206,196,176,0.305,0.35
"Pendleton, Caleb","2022",191,187,159,0.305,0.349
"Seymour, Randy","2024",736,689,625,0.305,0.326
"Brown, Ethan","2026",40,33,25,0.304,0.293
"Covino, Dan","2022",556,488,418,0.304,0.299
"Egrie, CJ","2025",312,226,204,0.304,0.225
"Gerety, Ryan","2025",635,596,548,0.304,0.315
"Davis, Vincent","2026",77,67,39,0.303,0.438
"Extra 2","2024",10,10,4,0.303,0.759
"Garcia, Matt","2023",346,293,251,0.303,0.33
"Kraus, Steven","2026",214,180,151,0.303,0.315
"Wilson, Ryan","2022",400,349,311,0.303,0.294
"Boardman, Cameron","2026",198,179,157,0.302,0.297
"DeMartino, Michael","2021",45,39,35,0.302,0.27
"DiLoreto, Corey","2021",43,43,39,0.302,0.333
"Flint, Tucker","2022",137,121,101,0.302,0.301
"Greco, Anthony","2026",115,102,78,0.302,0.33
"Mayes, Casey","2021",89,85,70,0.302,0.344
"Smith, Matt","2022",312,290,248,0.302,0.329
"Stone, Alex","2022",347,326,294,0.302,0.328
"Jordan, Justin","2021",86,80,70,0.301,0.31
"Medina, Adonis","2026",108,94,72,0.301,0.337
"Moriarty, Conor","2026",45,41,40,0.301,0.269
"Swain, Chase","2024",53,53,47,0.301,0.34
"Troch, Adam","2026",55,49,42,0.301,0.361
"Bello, Michael","2023",296,261,243,0.3,0.292
"Ellis, Hudson","2026",233,183,162,0.3,0.239
"Jones, Kyle","2024",507,443,407,0.3,0.295
"Ramirez, Alex","2023",341,295,241,0.3,0.305
"Rowland, Parker","2023",287,265,207,0.3,0.356
"Black, Dixon","2022",227,213,193,0.299,0.301
"Harmon, Trevor","2026",238,187,155,0.299,0.33
"Huett, Cole","2026",109,96,67,0.299,0.352
"Masiuk, Luke","2022",303,268,226,0.299,0.307
"Millan, Jake","2024",188,186,162,0.299,0.339
"Rickheim, Jack","2025",467,434,376,0.299,0.31
"Rickheim, Jack","2026",187,164,122,0.299,0.328
"Sirois, Jackson","2026",53,48,37,0.299,0.334
"Zee, Jamie","2026",223,201,145,0.299,0.364
"Jones, Charlie","2025",272,221,181,0.298,0.284
"Marti, John","2021",367,316,298,0.298,0.269
"Niclai, Coen","2025",238,211,181,0.298,0.304
"Wyers, Drew","2023",521,470,432,0.298,0.318
"Fedko, Christian","2021",190,166,162,0.297,0.246
"Ferrara, Dean","2024",705,644,604,0.297,0.296
"Ford, Tim","2025",40,29,23,0.297,0.456
"Jimenez, Sebastian","2022",73,69,63,0.297,0.3
"Petersen, Mika","2025",467,420,386,0.297,0.323
"Schaaf, Blake","2024",416,353,285,0.297,0.291
"Barron, Nick","2026",46,42,29,0.296,0.375
"LaRose, Jack","2026",158,141,118,0.296,0.298
"Leonzi, Ray","2024",441,372,336,0.296,0.292
"Ossenfort, Matt","2025",201,185,151,0.296,0.339
"Righi, Camden","2026",225,203,164,0.296,0.318
"Scott, Wesley","2026",84,70,56,0.296,0.296
"Wall, Shanley","2025",29,23,21,0.296,0.212
"Wolfe, Matt","2024",12,12,8,0.296,0.445
"Calero, Keagan","2021",93,81,71,0.295,0.27
"Gonzalez, Ethan","2026",23,20,13,0.295,0.363
"Goodman, Jack","2024",617,563,463,0.295,0.332
"Moran, Landon","2023",483,419,369,0.295,0.282
"Owen, Jackson","2023",273,240,196,0.295,0.295
"Vidal, Andre","2024",428,375,279,0.295,0.332
"Wallace, Colby","2025",485,456,428,0.295,0.294
"Ecker, Chase","2026",24,19,16,0.294,0.311
"Kendro, Jake","2025",123,117,97,0.294,0.33
"Kozarian, Jon","2021",251,222,192,0.294,0.327
"Myers, Jack","2026",202,174,151,0.294,0.307
"Ruiz, Matt","2023",16,12,12,0.294,0.277
"Senese, Nico","2026",229,211,181,0.294,0.307
"Thompson, Jt","2025",513,474,440,0.294,0.294
"Zeisloft, Luke","2024",234,201,159,0.294,0.306
"Ahearn, Qwynn (Denis)","2025",213,189,157,0.293,0.309
"DeAndrade, Nolan","2025",261,234,186,0.293,0.344
"Fox, Evan","2022",598,548,520,0.293,0.283
"Meglio, Charlie","2026",158,143,124,0.293,0.301
"Rosso, Santino","2022",482,438,406,0.293,0.304
"Sosa, Joan","2022",148,143,131,0.293,0.305
"Swank, Carson","2022",343,316,290,0.293,0.291
"Barrist, Alex","2026",146,129,118,0.292,0.279
"Collado, Joel","2025",45,40,30,0.292,0.323
"Gates, Sam","2025",456,391,327,0.292,0.297
"Goytia, AJ","2024",82,76,64,0.292,0.309
"Grady, Keaton","2025",56,50,42,0.292,0.291
"Ludwick, Charles","2022",411,381,319,0.292,0.312
"Manjooran, Matthew","2026",57,47,33,0.292,0.296
"O'Dowd, Jack","2021",17,15,13,0.292,0.276
"Peyton, Jordan","2024",779,718,674,0.292,0.292
"Beckstein, Luke","2022",348,301,265,0.291,0.26
"Castillo, Marco","2022",159,146,126,0.291,0.296
"Jones, Scott","2022",315,291,273,0.291,0.296
"Pitts, Gabriel","2025",166,152,136,0.291,0.305
"Scanlon, Jack","2022",216,194,164,0.291,0.307
