"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Jordan, Dakota","2023",134,117,103,0.472,0.5
"O'Brien, Michael","2025",619,565,506,0.472,0.521
"Polizzi, Stephen","2026",60,52,46,0.472,0.495
"Gersky, Will","2021",31,29,27,0.471,0.49
"Parrillo, Cal","2021",106,89,79,0.471,0.484
"Mexico, Sebastian","2025",463,433,419,0.47,0.477
"Lizama, Ethan","2024",270,246,220,0.468,0.512
"Perez, Xavier","2025",338,318,296,0.468,0.488
"Yu, Andrew","2024",574,521,483,0.468,0.499
"Cherry, Grant","2024",17,17,13,0.467,0.611
"Minick, Tyler","2024",351,329,283,0.467,0.531
"Fish, Brandon","2024",36,34,34,0.466,0.453
"Fote, Tyler","2023",147,116,92,0.465,0.571
"Irizarry, Julian","2026",27,19,17,0.465,0.414
"McCladdie, Tryston","2024",391,369,317,0.465,0.534
"Schultz, Garrett","2021",26,22,20,0.465,0.604
"Tierney, Aiden","2022",212,181,153,0.465,0.532
"Dorighi, Brennen","2021",214,204,174,0.463,0.546
"Alford, Slate","2022",664,615,545,0.462,0.511
"Willis, Chris","2024",102,88,88,0.462,0.425
"Spaner, Nick","2026",3,2,2,0.461,0.347
"Wallen, Henry","2022",159,136,118,0.461,0.51
"Wood, Matthew","2021",271,253,227,0.46,0.494
"Myers, Chaz","2022",466,428,380,0.459,0.501
"Hager, Kevin","2026",120,106,86,0.458,0.527
"Achuff, Chase","2021",140,132,120,0.457,0.487
"O'Conor, Michael","2024",541,481,413,0.457,0.519
"Boykin, Luke","2026",138,127,102,0.456,0.549
"Jarrell, Jacob","2023",172,159,115,0.456,0.628
"Ledbetter, Colton","2022",696,615,551,0.456,0.495
"Ciuffreda, Pete","2022",514,469,415,0.455,0.495
"Arnone, Griffin","2023",192,152,92,0.454,0.647
"Burley, Jacob","2022",220,195,155,0.453,0.531
"Hernandez, Jaylen","2025",406,347,315,0.453,0.455
"Morton, Korey","2022",419,386,330,0.453,0.523
"Jelic, Jason","2025",73,69,51,0.452,0.593
"Koonin, Jake","2024",693,650,580,0.452,0.497
"Ossenfort, Matt","2024",627,571,491,0.452,0.505
